"索引","DMM-1 时间 (s)","DMM-1 电压 (V)"
"741","132.0466741","0.2383136"
"742","132.192865","0.07415272"
"743","132.3416729","0.06378415"
"744","132.4890168","0.07200149"
"745","132.6363789","0.07713571"
"746","133.1115447","0.07972991"
"747","133.2583811","0.07899278"
"748","133.4065845","0.07815296"
"749","133.5535981","0.07729889"
"750","133.7014085","0.07730112"
"751","133.8485914","0.07623893"
"752","133.99766","0.07609329"
"753","134.1476742","0.07837965"
"754","134.2979466","0.1038035"
"755","134.4465193","0.6591361"
"756","134.5952698","0.8301926"
"757","134.7436495","0.8343836"
"758","135.2407477","0.8342564"
"759","135.3903198","0.8292046"
"760","135.538744","0.7736971"
"761","135.6891641","0.2685737"
"762","135.8354158","0.08573319"
"763","135.9838514","0.06358656"
"764","136.132872","0.0713948"
"765","136.2851791","0.07715994"
"766","136.4359374","0.07971041"
"767","136.5843438","0.08020343"
"768","136.7297163","0.07895032"
"769","137.2054835","0.078014"
"770","137.354417","0.07700395"
"771","137.5021299","0.07618681"
"772","137.6484686","0.07618291"
"773","137.7966697","0.07921088"
"774","137.9438884","0.1102063"
"775","138.0902908","0.7256193"
"776","138.23811","0.8300445"
"777","138.3865663","0.8334208"
"778","138.5386648","0.8335258"
"779","138.6884239","0.8330166"
"780","139.1803321","0.6144506"
"781","139.3312637","0.161794"
"782","139.4799305","0.0644744"
"783","139.6294306","0.06720556"
"784","139.7769157","0.07497661"
"785","139.9258336","0.07858748"
"786","140.0749391","0.0806239"
"787","140.22516","0.08034694"
"788","140.3755417","0.08011936"
"789","140.5258413","0.07946252"
"790","140.6759903","0.07863317"
"791","141.1673657","0.07564819"
"792","141.3166567","0.07558834"
"793","141.466966","0.07854658"
"794","141.6188271","0.1088362"
"795","141.766933","0.7271509"
"796","141.9161461","0.8290583"
"797","142.0657616","0.8322105"
"798","142.2141065","0.8325056"
"799","142.3621119","0.8319857"
"800","142.5115359","0.8317032"
"801","142.6618283","0.8218752"
"802","143.1633296","0.06343521"
"803","143.3137873","0.06906908"
"804","143.4649265","0.07679117"
"805","143.6143646","0.07993016"
"806","143.7651383","0.08104063"
"807","143.9129086","0.08103321"
"808","144.0606473","0.08070303"
"809","144.2128695","0.07986639"
"810","144.362721","0.07976794"
"811","144.5141998","0.07854838"
"812","144.6652333","0.07757992"
"813","145.1584612","0.09787665"
"814","145.3090868","0.5044524"
"815","145.4585825","0.8246556"
"816","145.6073028","0.830968"
"817","145.7577017","0.8314332"
"818","145.910157","0.8311145"
